Unnamed: 0,line_id,circuits,voltage,bus0,bus1,length,dc,geometry
0,1028776989_0,1.0,220000,ZONGO_AC_2025,KINSHASA_AC_2025,62233.279745644126,False,"LINESTRING (14.91708 -4.79643, 15.33906 -4.42721)"
1,1064077743_0,1.0,220000,GOMA_AC_2025,BUKAVU_RUZIZI_AC_2025,110013.00445285188,False,"LINESTRING (29.20767 -1.64500, 28.79645 -2.54499)"
2,194187707_0,3.0,220000,LUBUMBASHI_AC_2025,LIKASI_AC_2025,183991.1845194641,False,"LINESTRING (27.91289 -12.19183, 26.73690 -11.00400)"
3,286737300_0,1.0,220000,KINSHASA_AC_2025,BANDUNDU_AC_2025,178537.20376443787,False,"LINESTRING (15.33906 -4.42721, 16.81502 -3.78630)"
4,384190117_0,4.0,220000,KINSHASA_AC_2025,MATADI_INGA_AC_2025,225737.01660903456,False,"LINESTRING (15.33906 -4.42721, 13.62290 -5.52190)"
5,865689670_1,1.0,220000,BOMA_AC_2025,MATADI_INGA_AC_2025,68317.30265644279,False,"LINESTRING (13.06105 -5.77658, 13.62290 -5.52190)"
6,figure_existing_ac_003,1.0,220000,KOLWEZI_AC_2025,LIKASI_AC_2025,161015.30668524365,False,"LINESTRING (25.33183 -10.56610, 26.73690 -11.00400)"
7,figure_existing_ac_004,1.0,220000,KOLWEZI_AC_2025,KISENGE_AC_2025,187122.1467026409,False,"LINESTRING (25.33183 -10.56610, 23.62000 -10.56000)"
8,224147292_0_a,0.6666666666666666,500000,KANANGA_DC_2025,MBUJI_MAYI_DC_2025,138428.29376967365,True,"LINESTRING (22.44840 -5.99040, 23.69370 -6.11805)"
9,224147292_0_b,0.6666666666666666,500000,MBUJI_MAYI_DC_2025,KAMINA_DC_2025,308533.7858574194,True,"LINESTRING (23.69370 -6.11805, 25.05463 -8.54237)"
10,460419487_0,0.6666666666666666,500000,KIKWIT_KAKOBOLA_DC_2025,KANANGA_DC_2025,416585.2493305613,True,"LINESTRING (18.79360 -5.09420, 22.44840 -5.99040)"
11,626214770_0,0.6666666666666666,500000,MATADI_INGA_DC_2025,ZONGO_DC_2025,164464.8464124499,True,"LINESTRING (13.62290 -5.52190, 14.91708 -4.79643)"
12,778351007_0,0.6666666666666666,500000,KAMINA_DC_2025,KOLWEZI_DC_2025,227071.84558807567,True,"LINESTRING (25.05463 -8.54237, 25.33183 -10.56610)"
13,979570584_0,0.3333333333333333,500000,ZONGO_DC_2025,KIKWIT_KAKOBOLA_DC_2025,430718.1766098896,True,"LINESTRING (14.91708 -4.79643, 18.79360 -5.09420)"
14,planned_2035_008,1.0,220000,SEMLIKI_IVUGHA_AC_2035,GOMA_AC_2025,218546.91437366765,False,"LINESTRING (29.41000 0.31000, 29.20767 -1.64500)"
15,planned_2035_014,1.0,220000,KALEMIE_AC_2025,MANONO_AC_2025,264121.00458921475,False,"LINESTRING (29.06200 -5.47635, 28.09400 -7.64830)"
16,planned_2035_026,1.0,220000,KISANGANI_AC_2025,GOMA_AC_2025,510612.6254578869,False,"LINESTRING (25.18980 0.57920, 29.20767 -1.64500)"
17,planned_2035_028,1.0,220000,BUKAVU_RUZIZI_AC_2025,KALEMIE_AC_2025,327280.270628405,False,"LINESTRING (28.79645 -2.54499, 29.06200 -5.47635)"
18,planned_2035_029,1.0,220000,MANONO_AC_2025,KOLWEZI_AC_2025,444087.34659898496,False,"LINESTRING (28.09400 -7.64830, 25.33183 -10.56610)"
19,planned_2050_002,1.0,220000,BANDUNDU_AC_2025,MBANDAKA_AC_2025,455859.4770825297,False,"LINESTRING (16.81502 -3.78630, 18.26700 0.04800)"
20,planned_2050_003,1.0,220000,MBANDAKA_AC_2025,KISANGANI_AC_2025,772028.8055032007,False,"LINESTRING (18.26700 0.04800, 25.18980 0.57920)"
21,planned_2050_004,1.0,220000,GBADOLITE_AC_2025,BUMBA_AC_2050,276043.536622274,False,"LINESTRING (21.18540 4.30560, 22.47000 2.18000)"
22,planned_2050_005,1.0,220000,BUMBA_AC_2050,KISANGANI_AC_2025,350838.9743134044,False,"LINESTRING (22.47000 2.18000, 25.18980 0.57920)"
23,planned_2050_006,1.0,220000,KISANGANI_AC_2025,ISIRO_AC_2050,363723.2034442685,False,"LINESTRING (25.18980 0.57920, 27.62000 2.77000)"
24,planned_2050_007,1.0,220000,ISIRO_AC_2050,SEMLIKI_IVUGHA_AC_2035,338239.04179914,False,"LINESTRING (27.62000 2.77000, 29.41000 0.31000)"
25,planned_2050_009,1.0,220000,KISANGANI_AC_2025,KINDU_AC_2025,391875.1340575708,False,"LINESTRING (25.18980 0.57920, 26.62080 -2.64160)"
26,planned_2050_010,1.0,220000,KINDU_AC_2025,BUKAVU_RUZIZI_AC_2025,241912.0638718581,False,"LINESTRING (26.62080 -2.64160, 28.79645 -2.54499)"
27,planned_2050_012,1.0,220000,KINDU_AC_2025,KALEMIE_AC_2025,415520.6390694567,False,"LINESTRING (26.62080 -2.64160, 29.06200 -5.47635)"
28,planned_2050_015,1.0,220000,MANONO_AC_2025,MBUJI_MAYI_AC_2025,514688.18347594206,False,"LINESTRING (28.09400 -7.64830, 23.69370 -6.11805)"
29,planned_2050_016,1.0,220000,MBUJI_MAYI_AC_2025,KINDU_AC_2025,504694.89700626576,False,"LINESTRING (23.69370 -6.11805, 26.62080 -2.64160)"
30,planned_2050_017,1.0,220000,KIKWIT_KAKOBOLA_AC_2025,ILEBO_AC_2050,216891.55581351745,False,"LINESTRING (18.79360 -5.09420, 20.59000 -4.32000)"
31,planned_2050_018,1.0,220000,ILEBO_AC_2050,MBUJI_MAYI_AC_2025,397596.24552073405,False,"LINESTRING (20.59000 -4.32000, 23.69370 -6.11805)"
32,planned_2050_020,1.0,220000,TSHIKAPA_AC_2050,KANANGA_AC_2025,189446.22294037457,False,"LINESTRING (20.79000 -6.42000, 22.44840 -5.99040)"
33,planned_2050_022,1.0,220000,MBUJI_MAYI_AC_2025,KOLWEZI_AC_2025,526396.4283560306,False,"LINESTRING (23.69370 -6.11805, 25.33183 -10.56610)"
34,planned_2050_023,1.0,220000,MBUJI_MAYI_AC_2025,KALEMIE_AC_2025,598140.6478478636,False,"LINESTRING (23.69370 -6.11805, 29.06200 -5.47635)"
35,planned_2050_025,1.0,220000,KISANGANI_AC_2025,SEMLIKI_IVUGHA_AC_2035,470204.0349662884,False,"LINESTRING (25.18980 0.57920, 29.41000 0.31000)"
36,planned_2050_027,1.0,220000,BANDUNDU_AC_2025,KIKWIT_KAKOBOLA_AC_2025,263176.16069941915,False,"LINESTRING (16.81502 -3.78630, 18.79360 -5.09420)"
37,planned_2050_030,1.0,220000,KINSHASA_AC_2025,KIKWIT_KAKOBOLA_AC_2025,389917.9714538654,False,"LINESTRING (15.33906 -4.42721, 18.79360 -5.09420)"
