Unnamed: 0,line_id,circuits,voltage,bus0,bus1,length,dc,geometry
0,1028776989_0,1.0,220000,ZONGO_AC_2025,KINSHASA_AC_2025,62233.279745644126,False,"LINESTRING (14.91708 -4.79643, 15.33906 -4.42721)"
1,1064077743_0,1.0,220000,GOMA_AC_2025,BUKAVU_RUZIZI_AC_2025,110013.00445285188,False,"LINESTRING (29.20767 -1.64500, 28.79645 -2.54499)"
2,194187707_0,3.0,220000,LUBUMBASHI_AC_2025,LIKASI_AC_2025,183991.1845194641,False,"LINESTRING (27.91289 -12.19183, 26.73690 -11.00400)"
3,286737300_0,1.0,220000,KINSHASA_AC_2025,BANDUNDU_AC_2025,178537.20376443787,False,"LINESTRING (15.33906 -4.42721, 16.81502 -3.78630)"
4,384190117_0,4.0,220000,KINSHASA_AC_2025,MATADI_INGA_AC_2025,225737.01660903456,False,"LINESTRING (15.33906 -4.42721, 13.62290 -5.52190)"
5,865689670_1,1.0,220000,BOMA_AC_2025,MATADI_INGA_AC_2025,68317.30265644279,False,"LINESTRING (13.06105 -5.77658, 13.62290 -5.52190)"
6,figure_existing_ac_003,1.0,220000,KOLWEZI_AC_2025,LIKASI_AC_2025,161015.30668524365,False,"LINESTRING (25.33183 -10.56610, 26.73690 -11.00400)"
7,figure_existing_ac_004,1.0,220000,KOLWEZI_AC_2025,KISENGE_AC_2025,187122.1467026409,False,"LINESTRING (25.33183 -10.56610, 23.62000 -10.56000)"
8,224147292_0_a,0.6666666666666666,500000,KANANGA_DC_2025,MBUJI_MAYI_DC_2025,138428.29376967365,True,"LINESTRING (22.44840 -5.99040, 23.69370 -6.11805)"
9,224147292_0_b,0.6666666666666666,500000,MBUJI_MAYI_DC_2025,KAMINA_DC_2025,308533.7858574194,True,"LINESTRING (23.69370 -6.11805, 25.05463 -8.54237)"
10,460419487_0,0.6666666666666666,500000,KIKWIT_KAKOBOLA_DC_2025,KANANGA_DC_2025,416585.2493305613,True,"LINESTRING (18.79360 -5.09420, 22.44840 -5.99040)"
11,626214770_0,0.6666666666666666,500000,MATADI_INGA_DC_2025,ZONGO_DC_2025,164464.8464124499,True,"LINESTRING (13.62290 -5.52190, 14.91708 -4.79643)"
12,778351007_0,0.6666666666666666,500000,KAMINA_DC_2025,KOLWEZI_DC_2025,227071.84558807567,True,"LINESTRING (25.05463 -8.54237, 25.33183 -10.56610)"
13,979570584_0,0.3333333333333333,500000,ZONGO_DC_2025,KIKWIT_KAKOBOLA_DC_2025,430718.1766098896,True,"LINESTRING (14.91708 -4.79643, 18.79360 -5.09420)"
